Уровень,Рядов,Цветов,Препятствий,Шаров,Сносов_за_выстрел,Ходов_впритык,Ходов_было,Ходов_стало,Изменение,Запас_ходов_пр,Звёзд_при_идеале
1,4,3,0,42,2.0,21.0,30,30,0,30.0,3
2,4,3,1,41,2.0,21.0,28,30,2,30.0,3
3,4,3,2,40,2.0,21.0,28,30,2,30.0,3
4,5,3,2,51,2.0,26.5,26,38,12,30.3,3
5,5,3,1,52,2.0,26.5,28,38,10,30.3,3
6,5,4,2,51,1.85,28.6,27,41,14,30.3,3
7,5,4,3,50,1.85,28.5,26,41,15,30.4,3
8,5,4,1,52,1.85,28.6,28,41,13,30.2,3
9,5,4,3,50,1.85,28.5,26,41,15,30.4,3
10,6,4,3,60,1.85,33.9,26,49,23,30.8,3
11,6,5,2,61,1.75,35.9,27,51,24,29.7,3
12,6,5,3,60,1.75,35.8,26,51,25,29.8,3
13,6,5,4,59,1.75,35.7,25,51,26,30.0,3
14,6,5,1,62,1.75,35.9,27,51,24,29.6,3
15,6,5,3,60,1.75,35.8,26,51,25,29.8,3
16,6,5,3,60,1.75,35.8,25,51,26,29.8,3
17,6,6,2,61,1.65,38.0,27,54,27,29.7,3
18,7,6,3,71,1.65,44.5,25,64,39,30.4,3
19,7,6,5,69,1.65,44.3,25,63,38,29.7,3
20,7,6,5,69,1.65,44.3,24,63,39,29.7,3
21,6,6,2,61,1.65,38.0,26,54,28,29.7,3
22,6,6,3,60,1.65,37.9,26,54,28,29.9,3
23,6,6,2,61,1.65,38.0,28,54,26,29.7,3
24,7,6,3,71,1.65,44.5,26,64,38,30.4,3
25,7,6,4,70,1.65,44.4,24,64,40,30.6,3
26,6,7,2,61,1.55,40.4,28,58,30,30.4,3
27,6,7,3,60,1.55,40.2,26,57,31,29.5,3
28,6,7,2,61,1.55,40.4,27,58,31,30.4,3
29,7,7,3,71,1.55,47.3,25,68,43,30.4,3
30,7,7,4,70,1.55,47.2,24,67,43,29.6,3
