Уровень,Рядов,Цветов,Шариков,Ходов,Препятствий всего,Лёд,Слизь,Камень
1,2,3,21,17,0,0,0,0
2,2,3,20,17,1,1,0,0
3,3,3,30,26,2,2,0,0
4,3,3,30,26,2,2,0,0
5,4,3,41,34,1,1,0,0
6,4,4,40,37,2,2,0,0
7,4,4,39,36,3,3,0,0
8,5,4,52,46,1,0,1,0
9,5,4,50,46,3,2,1,0
10,5,4,50,46,3,1,2,0
11,6,5,61,58,2,2,0,0
12,6,5,60,58,3,1,2,0
13,6,5,59,58,4,2,2,0
14,6,5,62,58,1,0,0,1
15,6,5,60,58,3,2,0,1
16,6,5,60,58,3,0,2,1
17,6,6,61,61,2,2,0,0
18,7,6,71,72,3,0,2,1
19,7,6,69,72,5,2,2,1
20,7,6,69,72,5,2,2,1
21,6,6,61,61,2,2,0,0
22,6,6,60,61,3,2,0,1
23,6,6,61,61,2,0,2,0
24,7,6,71,72,3,2,1,0
25,7,6,70,72,4,2,2,0
26,6,7,61,65,2,2,0,0
27,6,7,60,65,3,2,0,1
28,6,7,61,65,2,0,2,0
29,7,7,71,76,3,2,1,0
30,7,7,70,76,4,2,2,0
